,code,name
0,000001,平安银行
1,000002,万  科Ａ
2,000004,国华网安
3,000006,深振业Ａ
4,000007,全新好
5,000008,神州高铁
6,000009,中国宝安
7,000010,美丽生态
8,000011,深物业A
9,000012,南  玻Ａ
10,000014,沙河股份
11,000016,深康佳Ａ
12,000017,深中华A
13,000019,深粮控股
14,000020,深华发Ａ
15,000021,深科技
16,000025,特  力Ａ
17,000026,飞亚达
18,000027,深圳能源
19,000028,国药一致
20,000029,深深房Ａ
21,000030,富奥股份
22,000031,大悦城
23,000032,深桑达Ａ
24,000034,神州数码
25,000035,中国天楹
26,000036,华联控股
27,000037,深南电A
28,000039,中集集团
29,000040,*ST旭蓝
30,000042,中洲控股
31,000045,深纺织Ａ
32,000048,京基智农
33,000049,德赛电池
34,000050,深天马Ａ
35,000055,方大集团
36,000056,皇庭国际
37,000058,深 赛 格
38,000059,华锦股份
39,000060,中金岭南
40,000061,农 产 品
41,000062,深圳华强
42,000063,中兴通讯
43,000065,北方国际
44,000066,中国长城
45,000068,华控赛格
46,000069,华侨城Ａ
47,000070,ST特信
48,000078,海王生物
49,000088,盐 田 港
50,000089,深圳机场
51,000090,天健集团
52,000096,广聚能源
53,000099,中信海直
54,000100,TCL科技
55,000151,中成股份
56,000153,丰原药业
57,000155,川能动力
58,000156,华数传媒
59,000157,中联重科
60,000158,常山北明
61,000159,国际实业
62,000166,申万宏源
63,000301,东方盛虹
64,000333,美的集团
65,000338,潍柴动力
66,000400,许继电气
67,000401,冀东水泥
68,000402,金 融 街
69,000403,派林生物
70,000404,长虹华意
71,000407,胜利股份
72,000408,藏格矿业
73,000409,云鼎科技
74,000410,沈阳机床
75,000411,英特集团
76,000415,渤海租赁
77,000417,合百集团
78,000419,通程控股
79,000420,吉林化纤
80,000421,南京公用
81,000422,湖北宜化
82,000423,东阿阿胶
83,000425,徐工机械
84,000426,兴业银锡
85,000428,华天酒店
86,000429,粤高速Ａ
87,000430,张家界
88,000488,ST晨鸣
89,000498,山东路桥
90,000501,武商集团
91,000503,国新健康
92,000504,南华生物
93,000505,京粮控股
94,000506,*ST中润
95,000507,珠海港
96,000509,华塑控股
97,000510,新金路
98,000513,丽珠集团
99,000514,渝 开 发
100,000516,国际医学
101,000517,荣安地产
102,000518,四环生物
103,000519,中兵红箭
104,000520,凤凰航运
105,000521,长虹美菱
106,000523,红棉股份
107,000524,岭南控股
108,000525,ST红太阳
109,000526,学大教育
110,000528,柳    工
111,000529,广弘控股
112,000530,冰山冷热
113,000531,穗恒运Ａ
114,000532,华金资本
115,000533,顺钠股份
116,000534,万泽股份
117,000536,华映科技
118,000537,中绿电
119,000538,云南白药
120,000539,粤电力Ａ
121,000541,佛山照明
122,000543,皖能电力
123,000544,中原环保
124,000545,金浦钛业
125,000546,金圆股份
126,000547,航天发展
127,000548,湖南投资
128,000550,江铃汽车
129,000551,创元科技
130,000552,甘肃能化
131,000553,安道麦A
132,000554,泰山石油
133,000555,神州信息
134,000557,西部创业
135,000558,天府文旅
136,000559,万向钱潮
137,000560,我爱我家
138,000561,烽火电子
139,000563,陕国投Ａ
140,000564,供销大集
141,000565,渝三峡Ａ
142,000566,海南海药
143,000567,海德股份
144,000568,泸州老窖
145,000570,苏常柴Ａ
146,000571,新大洲A
147,000572,海马汽车
148,000573,粤宏远Ａ
149,000576,甘化科工
150,000581,威孚高科
151,000582,北部湾港
152,000584,*ST工智
153,000586,汇源通信
154,000589,贵州轮胎
155,000590,启迪药业
156,000591,太阳能
157,000592,平潭发展
158,000593,德龙汇能
159,000595,宝塔实业
160,000596,古井贡酒
161,000597,东北制药
162,000598,兴蓉环境
163,000599,青岛双星
164,000600,建投能源
165,000601,韶能股份
166,000603,盛达资源
167,000605,渤海股份
168,000607,华媒控股
169,000608,阳光股份
170,000609,*ST中迪
171,000610,西安旅游
172,000612,焦作万方
173,000615,ST美谷
174,000617,中油资本
175,000619,海螺新材
176,000620,新华联
177,000622,*ST恒立
178,000623,吉林敖东
179,000625,长安汽车
180,000626,远大控股
181,000627,天茂集团
182,000628,高新发展
183,000629,钒钛股份
184,000630,铜陵有色
185,000631,顺发恒业
186,000632,三木集团
187,000633,合金投资
188,000635,英 力 特
189,000636,风华高科
190,000637,茂化实华
191,000638,万方发展
192,000639,西王食品
193,000650,仁和药业
194,000651,格力电器
195,000652,泰达股份
196,000655,金岭矿业
197,000656,*ST金科
198,000657,中钨高新
199,000659,珠海中富
200,000661,长春高新
201,000663,永安林业
202,000665,湖北广电
203,000668,荣丰控股
204,000669,ST金鸿
205,000670,盈方微
206,000672,上峰水泥
207,000676,智度股份
208,000677,恒天海龙
209,000678,襄阳轴承
210,000679,大连友谊
211,000680,山推股份
212,000681,视觉中国
213,000682,东方电子
214,000683,远兴能源
215,000685,中山公用
216,000686,东北证券
217,000688,国城矿业
218,000690,宝新能源
219,000691,亚太实业
220,000692,惠天热电
221,000695,滨海能源
222,000697,炼石航空
223,000698,沈阳化工
224,000700,模塑科技
225,000701,厦门信达
226,000702,正虹科技
227,000703,恒逸石化
228,000705,浙江震元
229,000707,双环科技
230,000708,中信特钢
231,000709,河钢股份
232,000710,贝瑞基因
233,000711,*ST京蓝
234,000712,锦龙股份
235,000713,丰乐种业
236,000715,中兴商业
237,000716,黑芝麻
238,000717,中南股份
239,000718,苏宁环球
240,000719,中原传媒
241,000720,新能泰山
242,000721,西安饮食
243,000722,湖南发展
244,000723,美锦能源
245,000725,京东方Ａ
246,000726,鲁  泰Ａ
247,000727,冠捷科技
248,000728,国元证券
249,000729,燕京啤酒
250,000731,四川美丰
251,000733,振华科技
252,000735,罗 牛 山
253,000736,中交地产
254,000737,北方铜业
255,000738,航发控制
256,000739,普洛药业
257,000750,国海证券
258,000751,锌业股份
259,000752,ST西发
260,000753,漳州发展
261,000755,山西高速
262,000756,新华制药
263,000757,浩物股份
264,000758,中色股份
265,000759,中百集团
266,000761,本钢板材
267,000762,西藏矿业
268,000766,通化金马
269,000767,晋控电力
270,000768,中航西飞
271,000776,广发证券
272,000777,中核科技
273,000778,新兴铸管
274,000779,甘咨询
275,000782,恒申新材
276,000783,长江证券
277,000785,居然智家
278,000786,北新建材
279,000788,北大医药
280,000789,万年青
281,000790,华神科技
282,000791,甘肃能源
283,000792,盐湖股份
284,000793,ST华闻
285,000795,英洛华
286,000796,凯撒旅业
287,000797,中国武夷
288,000798,中水渔业
289,000799,酒鬼酒
290,000800,一汽解放
291,000801,四川九洲
292,000802,北京文化
293,000803,山高环能
294,000807,云铝股份
295,000809,*ST和展
296,000810,创维数字
297,000811,冰轮环境
298,000812,陕西金叶
299,000813,德展健康
300,000815,美利云
301,000816,智慧农业
302,000818,航锦科技
303,000819,岳阳兴长
304,000820,神雾节能
305,000821,京山轻机
306,000822,山东海化
307,000823,超声电子
308,000825,太钢不锈
309,000826,启迪环境
310,000828,东莞控股
311,000829,天音控股
312,000830,鲁西化工
313,000831,中国稀土
314,000833,粤桂股份
315,000837,秦川机床
316,000838,财信发展
317,000839,中信国安
318,000848,承德露露
319,000850,华茂股份
320,000851,ST高鸿
321,000852,石化机械
322,000856,冀东装备
323,000858,五 粮 液
324,000859,国风新材
325,000860,顺鑫农业
326,000862,银星能源
327,000863,三湘印象
328,000868,安凯客车
329,000869,张  裕Ａ
330,000875,吉电股份
331,000876,新 希 望
332,000877,天山股份
333,000878,云南铜业
334,000880,潍柴重机
335,000881,中广核技
336,000882,华联股份
337,000883,湖北能源
338,000885,城发环境
339,000886,海南高速
340,000887,中鼎股份
341,000888,峨眉山Ａ
342,000889,ST中嘉
343,000890,法尔胜
344,000892,欢瑞世纪
345,000893,亚钾国际
346,000895,双汇发展
347,000897,津滨发展
348,000898,鞍钢股份
349,000899,赣能股份
350,000900,现代投资
351,000901,航天科技
352,000902,新洋丰
353,000903,云内动力
354,000905,厦门港务
355,000906,浙商中拓
356,000908,*ST景峰
357,000909,ST数源
358,000910,大亚圣象
359,000911,广农糖业
360,000912,泸天化
361,000913,钱江摩托
362,000915,华特达因
363,000917,电广传媒
364,000919,金陵药业
365,000920,沃顿科技
366,000921,海信家电
367,000922,佳电股份
368,000923,河钢资源
369,000925,众合科技
370,000926,福星股份
371,000927,中国铁物
372,000928,中钢国际
373,000929,兰州黄河
374,000930,中粮科技
375,000931,中 关 村
376,000932,华菱钢铁
377,000933,神火股份
378,000935,四川双马
379,000936,华西股份
380,000937,冀中能源
381,000938,紫光股份
382,000948,南天信息
383,000949,新乡化纤
384,000950,重药控股
385,000951,中国重汽
386,000952,广济药业
387,000953,河化股份
388,000955,欣龙控股
389,000957,中通客车
390,000958,电投产融
391,000959,首钢股份
392,000960,锡业股份
393,000962,东方钽业
394,000963,华东医药
395,000965,天保基建
396,000966,长源电力
397,000967,盈峰环境
398,000968,蓝焰控股
399,000969,安泰科技
