日期,上证-收盘价,上证-涨跌幅,深证-收盘价,深证-涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
2024-10-08,3489.78,4.59,11495.1,9.17,-214840467456.0,-6.22,-156262842368.0,-4.53,-58577625088.0,-1.7,86674997248.0,2.51,128165470208.0,3.71
2024-10-09,3258.86,-6.62,10557.81,-8.15,-214006583296.0,-7.28,-128960700416.0,-4.39,-85045882880.0,-2.89,52092219392.0,1.77,161914351616.0,5.51
2024-10-10,3301.93,1.32,10471.08,-0.82,-60139020288.0,-2.81,-31675404288.0,-1.48,-28463616000.0,-1.33,6361354240.0,0.3,53777666048.0,2.51
2024-10-11,3217.74,-2.55,10060.74,-3.92,-97384894464.0,-6.19,-50226839552.0,-3.2,-47158054912.0,-3.0,21696983040.0,1.38,75687919616.0,4.81
2024-10-14,3284.32,2.07,10327.4,2.65,-871071744.0,-0.05,7743324160.0,0.47,-8614395904.0,-0.53,-6660050944.0,-0.41,7531130880.0,0.46
2024-10-15,3201.29,-2.53,10066.52,-2.53,-69878038528.0,-4.27,-33331748864.0,-2.04,-36546289664.0,-2.24,17188429824.0,1.05,52689612800.0,3.22
2024-10-16,3202.95,0.05,9965.02,-1.01,-29878943744.0,-2.17,-7915241472.0,-0.58,-21963702272.0,-1.6,-1433354240.0,-0.1,31312297984.0,2.28
2024-10-17,3169.38,-1.05,9891.76,-0.74,-40681807872.0,-2.73,-13836541952.0,-0.93,-26845265920.0,-1.8,6657265664.0,0.45,34024546304.0,2.28
2024-10-18,3261.56,2.91,10357.68,4.71,41877557248.0,2.0,48065953792.0,2.29,-6188396544.0,-0.3,-40349990912.0,-1.92,-1527566336.0,-0.07
2024-10-21,3268.11,0.2,10470.91,1.09,-42358317056.0,-1.94,-17975320576.0,-0.82,-24382996480.0,-1.12,12543070208.0,0.57,29815246848.0,1.37
2024-10-22,3285.87,0.54,10559.51,0.85,-52876558336.0,-2.76,-20889616384.0,-1.09,-31986941952.0,-1.67,9390710784.0,0.49,43485843456.0,2.27
2024-10-23,3302.8,0.52,10576.41,0.16,-47957458944.0,-2.49,-18797981696.0,-0.98,-29159477248.0,-1.51,1354158080.0,0.07,46603296768.0,2.42
2024-10-24,3280.26,-0.68,10441.75,-1.27,-61309857792.0,-4.03,-30404435968.0,-2.0,-30905421824.0,-2.03,8441405440.0,0.56,52868452352.0,3.48
2024-10-25,3299.7,0.59,10619.85,1.71,-1904140288.0,-0.11,12644483072.0,0.71,-14548623360.0,-0.82,-15874392064.0,-0.9,17778536448.0,1.0
2024-10-28,3322.2,0.68,10685.89,0.62,-26332463104.0,-1.41,-8785666048.0,-0.47,-17546797056.0,-0.94,2245210112.0,0.12,24087257088.0,1.29
2024-10-29,3286.41,-1.08,10543.33,-1.33,-108422795264.0,-5.26,-51281805312.0,-2.49,-57140989952.0,-2.77,18104307712.0,0.88,90318491648.0,4.38
2024-10-30,3266.24,-0.61,10530.85,-0.12,-55361789952.0,-3.0,-26019217408.0,-1.41,-29342572544.0,-1.59,3650146304.0,0.2,51711647744.0,2.8
2024-10-31,3279.82,0.42,10591.22,0.57,-37201817600.0,-1.68,-13500014592.0,-0.61,-23701803008.0,-1.07,2337378304.0,0.11,34864439296.0,1.57
2024-11-01,3272.01,-0.24,10455.5,-1.28,-129174994944.0,-5.79,-68903137280.0,-3.09,-60271857664.0,-2.7,20389748736.0,0.91,108785250304.0,4.88
2024-11-04,3310.21,1.17,10663.1,1.99,-2784800768.0,-0.16,4037513216.0,0.24,-6822313984.0,-0.4,-9495990272.0,-0.56,12280795136.0,0.72
2024-11-05,3386.99,2.32,11006.94,3.22,18961518592.0,0.82,28774051840.0,1.25,-9812533248.0,-0.43,-25849851904.0,-1.12,6888337408.0,0.3
2024-11-06,3383.81,-0.09,10968.14,-0.35,-98852446208.0,-3.86,-45458391040.0,-1.77,-53394055168.0,-2.08,15597432832.0,0.61,83255009280.0,3.25
2024-11-07,3470.66,2.57,11235.92,2.44,-10011082752.0,-0.4,3308736512.0,0.13,-13319819264.0,-0.53,-11306401792.0,-0.45,21317484544.0,0.85
2024-11-08,3452.3,-0.53,11161.7,-0.66,-101951979520.0,-3.8,-52742070272.0,-1.97,-49209909248.0,-1.84,17253416960.0,0.64,84698554368.0,3.16
2024-11-11,3470.07,0.51,11388.57,2.03,-19546234880.0,-0.78,-2925674496.0,-0.12,-16620560384.0,-0.66,-4915445760.0,-0.2,24461680640.0,0.98
2024-11-12,3421.97,-1.39,11314.46,-0.65,-149125193728.0,-5.85,-83453849600.0,-3.27,-65671344128.0,-2.57,32556146688.0,1.28,116569042944.0,4.57
2024-11-13,3439.28,0.51,11359.29,0.4,-58207072256.0,-2.9,-26408054784.0,-1.31,-31799017472.0,-1.58,789106688.0,0.04,57417969664.0,2.86
2024-11-14,3379.84,-1.73,11037.78,-2.83,-130528444416.0,-7.1,-74284855296.0,-4.04,-56243589120.0,-3.06,22672044032.0,1.23,107856400384.0,5.87
2024-11-15,3330.73,-1.45,10748.97,-2.62,-92155088896.0,-5.05,-41601683456.0,-2.28,-50553405440.0,-2.77,4298932224.0,0.24,87856152576.0,4.81
2024-11-18,3323.85,-0.21,10544.02,-1.91,-80988352512.0,-4.61,-43878440960.0,-2.5,-37109911552.0,-2.11,10282561536.0,0.59,70705790976.0,4.02
2024-11-19,3346.01,0.67,10743.84,1.9,-27608530944.0,-1.77,-15317762048.0,-0.98,-12290768896.0,-0.79,-2387640320.0,-0.15,29996163072.0,1.93
2024-11-20,3367.99,0.66,10827.19,0.78,9320333312.0,0.58,17814151168.0,1.1,-8493817856.0,-0.53,-4878135296.0,-0.3,-4442202112.0,-0.28
2024-11-21,3370.4,0.07,10819.88,-0.07,-41715650560.0,-2.59,-13568954368.0,-0.84,-28146696192.0,-1.75,487800832.0,0.03,41227845632.0,2.56
2024-11-22,3267.19,-3.06,10438.72,-3.52,-111458627584.0,-6.23,-52999626752.0,-2.96,-58459000832.0,-3.27,11606552576.0,0.65,99852079104.0,5.58
2024-11-25,3263.76,-0.1,10420.52,-0.17,-41448057600.0,-2.78,-20471470848.0,-1.37,-20976586752.0,-1.41,-136904704.0,-0.01,41584967680.0,2.79
2024-11-26,3259.76,-0.12,10333.23,-0.84,-52173992960.0,-4.0,-26482508800.0,-2.03,-25691484160.0,-1.97,6375931904.0,0.49,45798060032.0,3.51
2024-11-27,3309.78,1.53,10566.1,2.25,2131228416.0,0.15,11614742272.0,0.8,-9483513856.0,-0.65,-13683171328.0,-0.94,11551940608.0,0.79
2024-11-28,3295.7,-0.43,10432.54,-1.26,-41113413888.0,-2.76,-16937916672.0,-1.14,-24175497216.0,-1.62,3668914176.0,0.25,37444501504.0,2.51
2024-11-29,3326.46,0.93,10611.72,1.72,13868638208.0,0.81,23966793728.0,1.4,-10098155520.0,-0.59,-24951074816.0,-1.46,11082436608.0,0.65
2024-12-02,3363.98,1.13,10756.55,1.36,-5438337024.0,-0.3,6929969152.0,0.39,-12368306176.0,-0.69,-5508726784.0,-0.31,10947059712.0,0.61
2024-12-03,3378.81,0.44,10713.58,-0.4,-62564843520.0,-3.65,-30002757632.0,-1.75,-32562085888.0,-1.9,8515956736.0,0.5,54048882688.0,3.15
2024-12-04,3364.65,-0.42,10604.01,-1.02,-75123556352.0,-4.52,-33792589824.0,-2.03,-41330966528.0,-2.49,6310502400.0,0.38,68813049856.0,4.14
2024-12-05,3368.86,0.13,10634.49,0.29,-4854116352.0,-0.32,8300244992.0,0.55,-13154361344.0,-0.88,-11854274560.0,-0.79,16708382720.0,1.11
2024-12-06,3404.08,1.05,10791.34,1.47,-22303727616.0,-1.25,-1977810944.0,-0.11,-20325916672.0,-1.14,-8471388160.0,-0.47,30775115776.0,1.72
2024-12-09,3402.53,-0.05,10731.66,-0.55,-69064855552.0,-4.23,-36721635328.0,-2.25,-32343220224.0,-1.98,11883397120.0,0.73,57181458432.0,3.5
2024-12-10,3422.66,0.59,10812.58,0.75,-50165649408.0,-2.28,-17630769152.0,-0.8,-32534880256.0,-1.48,-9971875840.0,-0.45,60137525248.0,2.73
2024-12-11,3432.49,0.29,10848.42,0.33,-28281356288.0,-1.59,-7221989376.0,-0.41,-21059366912.0,-1.19,-7983165440.0,-0.45,36264521728.0,2.04
2024-12-12,3461.5,0.85,10957.13,1.0,-26994974720.0,-1.45,-4761976832.0,-0.26,-22232997888.0,-1.19,-8664702976.0,-0.46,35659673600.0,1.91
2024-12-13,3391.88,-2.01,10713.07,-2.23,-98221776896.0,-4.75,-46863872000.0,-2.26,-51357904896.0,-2.48,10290823168.0,0.5,87930949632.0,4.25
2024-12-16,3386.33,-0.16,10573.92,-1.3,-76598452224.0,-4.51,-31748182016.0,-1.87,-44850270208.0,-2.64,5660176384.0,0.33,70938271744.0,4.17
2024-12-17,3361.49,-0.73,10537.43,-0.35,-90831219456.0,-6.01,-43142527744.0,-2.86,-47688691712.0,-3.16,4827172864.0,0.32,86004043776.0,5.69
2024-12-18,3382.21,0.62,10584.27,0.44,-4989863168.0,-0.37,7569120000.0,0.56,-12558983168.0,-0.92,-10376384512.0,-0.76,15366246400.0,1.13
