日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2000-01-04,000415,10.58,10.82,10.94,10.35,4964,5298917.5,5.63,3.24,0.34,0.52
2000-01-05,000415,10.91,10.78,11.1,10.55,9651,10513397.0,5.08,-0.37,-0.04,1.01
2000-01-06,000415,10.6,11.29,11.35,10.6,12412,13711751.0,6.96,4.73,0.51,1.3
2000-01-07,000415,11.68,12.42,12.42,11.68,22145,27388096.0,6.55,10.01,1.13,2.32
2000-01-10,000415,13.36,13.35,13.6,12.8,106344,140943760.0,6.44,7.49,0.93,11.14
2000-01-11,000415,13.35,12.42,13.4,12.28,46779,60329512.0,8.39,-6.97,-0.93,4.9
2000-01-12,000415,12.35,11.81,12.8,11.68,38068,46088668.0,9.02,-4.91,-0.61,3.99
2000-01-13,000415,11.78,11.38,11.8,11.34,15582,17943204.0,3.9,-3.64,-0.43,1.63
2000-01-14,000415,11.28,11.48,11.6,11.28,10604,12178104.0,2.81,0.88,0.1,1.11
2000-01-17,000415,11.5,12.3,12.5,11.5,18899,22734458.0,8.71,7.14,0.82,1.98
2000-01-19,000415,12.6,11.94,12.8,11.8,15746,19155322.0,8.13,-2.93,-0.36,1.65
2000-01-20,000415,11.9,12.26,12.5,11.81,15771,19353672.0,5.78,2.68,0.32,1.65
2000-01-21,000415,12.3,12.91,13.46,12.3,54313,70170512.0,9.46,5.3,0.65,5.69
2000-01-24,000415,13.0,13.22,13.5,12.7,46813,61471144.0,6.2,2.4,0.31,4.91
2000-01-25,000415,13.38,12.83,13.5,12.7,23404,30418818.0,6.05,-2.95,-0.39,2.45
2000-01-26,000415,12.8,12.61,12.8,12.48,12954,16318000.0,2.49,-1.71,-0.22,1.36
2000-01-27,000415,12.71,12.93,13.25,12.68,23546,30615434.0,4.52,2.54,0.32,2.47
2000-01-28,000415,13.0,13.82,14.1,12.75,89637,121494424.0,10.44,6.88,0.89,9.39
2000-02-14,000415,14.28,15.2,15.2,14.28,68334,103154904.0,6.66,9.99,1.38,7.16
2000-02-15,000415,16.0,15.93,16.72,15.6,67921,112415968.0,7.37,4.8,0.73,7.12
2000-02-16,000415,15.88,17.39,17.4,15.8,137780,229831936.0,10.04,9.17,1.46,14.44
2000-02-17,000415,18.01,15.99,19.1,15.78,165986,288313440.0,19.09,-8.05,-1.4,17.39
2000-02-18,000415,15.5,16.94,17.1,14.5,93906,146131984.0,16.26,5.94,0.95,9.84
2000-02-21,000415,17.38,16.5,17.68,16.0,93844,158725248.0,9.92,-2.6,-0.44,9.83
2000-02-22,000415,16.4,15.23,16.45,15.1,55831,89055240.0,8.18,-7.7,-1.27,5.85
2000-02-23,000415,14.8,14.41,15.13,14.4,52612,77161576.0,4.79,-5.38,-0.82,5.51
2000-02-24,000415,14.3,15.09,15.1,14.2,29856,44246592.0,6.25,4.72,0.68,3.13
2000-02-25,000415,15.1,14.97,15.38,14.8,27827,41801400.0,3.84,-0.8,-0.12,2.92
2000-02-28,000415,14.98,15.99,16.0,14.7,45110,69309352.0,8.68,6.81,1.02,4.73
2000-02-29,000415,16.38,15.49,16.5,15.2,44015,69340932.0,8.13,-3.13,-0.5,4.61
2000-03-01,000415,14.98,14.72,15.48,14.65,27925,41763332.0,5.36,-4.97,-0.77,2.93
2000-03-02,000415,14.68,15.19,15.27,14.52,27374,40917032.0,5.1,3.19,0.47,2.87
2000-03-03,000415,15.37,15.92,16.3,15.36,58862,93880032.0,6.19,4.81,0.73,6.17
2000-03-06,000415,16.21,14.92,16.5,14.87,34951,54512616.0,10.24,-6.28,-1.0,3.66
2000-03-07,000415,14.7,15.51,15.59,14.49,27680,41489236.0,7.37,3.95,0.59,2.9
2000-03-08,000415,15.55,15.65,15.8,15.01,20529,31854388.0,5.09,0.9,0.14,2.15
2000-03-09,000415,15.8,16.01,16.2,15.51,45309,72440536.0,4.41,2.3,0.36,4.75
2000-03-10,000415,16.1,15.46,16.16,15.37,23731,37158932.0,4.93,-3.44,-0.55,2.49
2000-03-13,000415,15.28,15.55,15.68,15.28,16574,25589552.0,2.59,0.58,0.09,1.74
2000-03-14,000415,15.4,15.19,15.4,14.7,24252,36591876.0,4.5,-2.32,-0.36,2.54
2000-03-15,000415,15.1,15.04,15.3,15.0,13625,20584572.0,1.97,-0.99,-0.15,1.43
2000-03-16,000415,15.0,14.15,15.0,13.88,29438,42639356.0,7.45,-5.92,-0.89,3.08
2000-03-17,000415,14.0,14.64,14.7,13.91,16984,24542770.0,5.58,3.46,0.49,1.78
2000-03-20,000415,14.48,14.93,15.04,14.2,12506,18546230.0,5.74,1.98,0.29,1.31
2000-03-21,000415,14.95,14.81,15.0,14.52,13341,19585360.0,3.22,-0.8,-0.12,1.4
2000-03-22,000415,14.81,14.84,15.0,14.6,14225,21087228.0,2.7,0.2,0.03,1.49
2000-03-23,000415,14.84,14.75,14.84,14.42,20287,29642604.0,2.83,-0.61,-0.09,2.13
2000-03-24,000415,14.8,14.98,15.54,14.8,33261,50625212.0,5.02,1.56,0.23,3.49
2000-03-27,000415,14.97,15.43,15.5,14.81,21849,33396584.0,4.61,3.0,0.45,2.29
2000-03-28,000415,15.45,16.29,16.4,15.08,49657,77859792.0,8.55,5.57,0.86,5.2
2000-03-29,000415,16.4,15.8,16.48,15.5,29898,47324216.0,6.02,-3.01,-0.49,3.13
2000-03-30,000415,15.8,15.86,15.98,15.6,20755,32868784.0,2.41,0.38,0.06,2.17
2000-03-31,000415,16.1,16.69,17.2,16.02,90332,149124624.0,7.44,5.23,0.83,9.47
2000-04-03,000415,16.69,16.44,16.96,16.31,36585,60562836.0,3.89,-1.5,-0.25,3.83
2000-04-04,000415,16.38,15.58,16.38,15.5,22560,35674500.0,5.35,-5.23,-0.86,2.36
2000-04-05,000415,15.31,15.85,15.86,15.31,15863,24794446.0,3.53,1.73,0.27,1.66
2000-04-06,000415,15.88,16.0,16.22,15.79,20669,32999262.0,2.71,0.95,0.15,2.17
2000-04-07,000415,16.03,15.88,16.1,15.7,13370,21132794.0,2.5,-0.75,-0.12,1.4
2000-04-11,000415,15.9,15.69,16.05,15.6,11823,18657696.0,2.83,-1.2,-0.19,1.24
2000-04-12,000415,15.69,15.45,15.8,15.45,17377,27062928.0,2.23,-1.53,-0.24,1.82
2000-04-13,000415,15.5,15.51,15.72,15.47,15875,24669846.0,1.62,0.39,0.06,1.66
2000-04-14,000415,15.6,15.24,15.7,14.95,20146,30829406.0,4.84,-1.74,-0.27,2.11
2000-04-17,000415,15.2,14.87,15.2,14.58,24591,36294176.0,4.07,-2.43,-0.37,2.58
2000-04-18,000415,14.8,15.0,15.02,14.61,9038,13447946.0,2.76,0.87,0.13,0.95
2000-04-19,000415,15.01,15.0,15.38,14.98,12715,19255420.0,2.67,0.0,0.0,1.33
2000-04-20,000415,15.02,14.96,15.2,14.94,12208,18317426.0,1.73,-0.27,-0.04,1.28
2000-04-21,000415,14.98,14.93,15.22,14.9,7469,11241627.0,2.14,-0.2,-0.03,0.78
2000-04-24,000415,14.96,14.65,15.0,14.6,11523,16920576.0,2.68,-1.88,-0.28,1.21
2000-04-25,000415,14.65,14.54,14.7,14.48,13473,19578726.0,1.5,-0.75,-0.11,1.41
2000-04-26,000415,14.55,14.5,14.88,14.5,14608,21258620.0,2.61,-0.28,-0.04,1.53
2000-04-27,000415,14.5,14.71,15.05,14.5,10844,15996429.0,3.79,1.45,0.21,1.14
2000-04-28,000415,14.8,14.99,15.0,14.7,7809,11644474.0,2.04,1.9,0.28,0.82
2000-05-08,000415,15.1,14.87,15.2,14.8,6340,9490108.0,2.67,-0.8,-0.12,0.66
2000-05-09,000415,14.88,14.6,14.98,14.54,5656,8297980.5,2.96,-1.82,-0.27,0.59
2000-05-10,000415,14.56,14.17,14.6,14.08,7415,10562401.0,3.56,-2.95,-0.43,0.78
2000-05-11,000415,14.17,13.85,14.3,13.85,6814,9549044.0,3.18,-2.26,-0.32,0.71
2000-05-12,000415,13.85,13.76,14.18,13.75,5564,7711581.0,3.1,-0.65,-0.09,0.58
2000-05-15,000415,13.76,13.2,13.76,13.1,6545,8672797.0,4.8,-4.07,-0.56,0.69
2000-05-16,000415,13.2,13.55,13.56,13.2,4072,5478869.0,2.73,2.65,0.35,0.43
2000-05-17,000415,13.6,13.52,13.75,13.5,3049,4158746.0,1.85,-0.22,-0.03,0.32
2000-05-18,000415,13.4,13.74,13.75,13.3,4025,5452641.5,3.33,1.63,0.22,0.42
2000-05-19,000415,13.79,14.05,14.06,13.62,5521,7630924.5,3.2,2.26,0.31,0.58
2000-05-22,000415,14.1,14.5,14.65,14.1,8404,12162257.0,3.91,3.2,0.45,0.88
2000-05-23,000415,14.55,14.29,14.66,14.12,6107,8730693.0,3.72,-1.45,-0.21,0.64
2000-05-24,000415,14.29,14.58,14.9,14.1,8675,12501513.0,5.6,2.03,0.29,0.91
2000-05-25,000415,14.6,14.61,14.8,14.45,7351,10723431.0,2.4,0.21,0.03,0.77
2000-05-26,000415,14.62,14.53,14.8,14.35,8378,12178690.0,3.08,-0.55,-0.08,0.88
2000-05-29,000415,14.5,14.59,14.78,14.25,10100,14600696.0,3.65,0.41,0.06,1.06
2000-05-30,000415,14.67,14.27,14.75,14.26,6481,9351432.0,3.36,-2.19,-0.32,0.68
2000-05-31,000415,14.15,14.21,14.43,14.0,7896,11193216.0,3.01,-0.42,-0.06,0.83
2000-06-01,000415,14.25,14.25,14.45,14.1,5181,7380534.0,2.46,0.28,0.04,0.54
2000-06-02,000415,14.3,14.23,14.35,14.15,6731,9556070.0,1.4,-0.14,-0.02,0.71
2000-06-05,000415,14.3,14.22,14.32,14.09,9986,14187408.0,1.62,-0.07,-0.01,1.05
2000-06-06,000415,14.25,14.56,14.68,14.0,9649,13972205.0,4.78,2.39,0.34,1.01
2000-06-07,000415,14.6,14.6,14.76,14.45,9453,13833361.0,2.13,0.27,0.04,0.99
2000-06-08,000415,14.6,15.11,15.12,14.55,24812,37007976.0,3.9,3.49,0.51,2.6
2000-06-09,000415,15.15,14.8,15.3,14.7,17151,25833302.0,3.97,-2.05,-0.31,1.8
2000-06-12,000415,14.69,14.7,14.78,14.5,5844,8528408.0,1.89,-0.68,-0.1,0.61
2000-06-13,000415,14.58,14.72,14.75,14.58,4418,6487310.0,1.16,0.14,0.02,0.46
2000-06-14,000415,14.85,14.64,14.9,14.62,4835,7106081.5,1.9,-0.54,-0.08,0.51
2000-06-15,000415,14.6,14.58,14.64,14.45,5954,8636273.0,1.3,-0.41,-0.06,0.62
2000-06-16,000415,14.57,14.41,14.6,14.4,6324,9147735.0,1.37,-1.17,-0.17,0.66
2000-06-19,000415,14.38,14.3,14.38,14.2,5851,8344384.0,1.25,-0.76,-0.11,0.61
2000-06-20,000415,14.25,14.32,14.65,14.2,3399,4891193.0,3.15,0.14,0.02,0.36
